source_viewport,tag,source_classes,observed_width,observed_height,font_size,font_weight,line_height,padding,gap,radius,overflow_y
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__marketTitle,91.5,12.094,11px,700,12.1px,0px,normal,0px,hidden
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__marketLine,91.5,15.391,14px,900,15.4px,0px,normal,0px,hidden
1363x936,ARTICLE,EuropeanSportsTheme-module__rRO-Da__eventCard EuropeanSportsTheme-module__rRO-Da__eventCardWithBackground EuropeanSportsTheme-module__rRO-Da__eventCardClickable,308.5,228,16px,400,24px,12px,12px,4px,hidden
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__lockedMarket,282.5,36,12px,800,18px,0px,6px,4px,visible
1363x936,SECTION,InplayRightPanel-module__eojeoq__panel hide-scrollbar,330.5,802,16px,400,24px,0px,normal,8px,hidden
1363x936,HEADER,InplayRightPanel-module__eojeoq__header,328.5,56,16px,400,24px,10px,normal,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__headerTop,308.5,35,16px,400,24px,0px,12px,0px,visible
1363x936,H2,InplayRightPanel-module__eojeoq__title,190.656,35,14px,800,17.5px,0px,normal,0px,visible
1363x936,P,InplayRightPanel-module__eojeoq__startTime,105.844,18,12px,700,18px,0px,normal,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__detailPanel,328.5,744,16px,400,24px,0px,normal,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__detailTabs,328.5,49,16px,400,24px,8px 10px,6px,0px,visible
1363x936,BUTTON,InplayRightPanel-module__eojeoq__detailTab InplayRightPanel-module__eojeoq__detailTabActive,56.891,32,12px,800,12px,0px 6px,normal,5px,hidden
1363x936,BUTTON,InplayRightPanel-module__eojeoq__detailTab ,56.906,32,12px,800,12px,0px 6px,normal,5px,hidden
1363x936,DIV,InplayRightPanel-module__eojeoq__marketList hide-scrollbar,328.5,694,16px,400,24px,10px 10px 16px,normal,0px,auto
1363x936,SECTION,InplayRightPanel-module__eojeoq__marketGroup,308.5,82,16px,400,24px,0px,normal,8px,hidden
1363x936,BUTTON,InplayRightPanel-module__eojeoq__marketGroupHeader,306.5,34,12px,900,18px,0px 10px,normal,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__marketRows,306.5,46,16px,400,24px,6px 10px,4px,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__marketRow InplayRightPanel-module__eojeoq__marketRowTwo,286.5,34,16px,400,24px,0px,4px,0px,visible
1363x936,BUTTON,InplayRightPanel-module__eojeoq__oddsButton,141.25,34,16px,400,24px,0px 9px,8px,4px,hidden
1363x936,SPAN,InplayRightPanel-module__eojeoq__oddsLabel,82.109,32,12px,700,12px,0px,normal,0px,hidden
1363x936,SPAN,InplayRightPanel-module__eojeoq__oddsValue,31.141,32,14px,900,14px,0px,3px,0px,visible
1363x936,BUTTON,InplayRightPanel-module__eojeoq__oddsButton InplayRightPanel-module__eojeoq__oddsButtonReverse,141.25,34,16px,400,24px,0px 9px,8px,4px,hidden
1363x936,DIV,InplayRightPanel-module__eojeoq__marketRow InplayRightPanel-module__eojeoq__marketRowThree,286.5,34,16px,400,24px,0px,4px,0px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__lineBox InplayRightPanel-module__eojeoq__lineHandicap,74,34,13px,900,13px,0px,normal,4px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__lineBox InplayRightPanel-module__eojeoq__lineTotal,74,34,13px,900,13px,0px,normal,4px,visible
1363x936,DIV,InplayRightPanel-module__eojeoq__marketRow InplayRightPanel-module__eojeoq__marketRowThreeEven,286.5,34,16px,400,24px,0px,4px,0px,visible
1363x936,ASIDE,right-sidebar hide-scrollbar,328,823,16px,400,24px,0px 4px,normal,0px,auto
1363x936,DIV,right-stack flex flex-col gap-2,320,1448.75,16px,400,24px,0px,7px,0px,visible
1363x936,DIV,right-control-panel,320,1044,16px,400,24px,0px,8px,0px,visible
1363x936,SECTION,user-card user-card-side user-home-card ,320,320,14px,400,21px,8px,normal,5px,hidden
1363x936,DIV,bet-head user-card-head,302,38,14px,400,21px,0px 6px 6px,normal,0px,hidden
1363x936,DIV,label,89.031,24,14px,400,21px,0px,6px,0px,visible
1363x936,SPAN,user-head-icon user-level-badge,42,24,10.5px,800,10.5px,0px 6px,normal,4px,hidden
1363x936,SPAN,title,41.031,16,14px,700,normal,0px,normal,0px,hidden
1363x936,BUTTON,clear,72.484,28,12px,600,24px,0px 8px,3px,7px,visible
1363x936,DIV,balance-area,302,143,14px,400,21px,0px,8px,0px,visible
1363x936,DIV,balance-row money,302,42.328,14px,400,21px,0px 10px,8px,10px,visible
1363x936,SPAN,value,26.172,18,16px,800,18px,0px,4px,0px,visible
1363x936,SPAN,unit,11.25,13,13px,700,13px,0px,normal,0px,visible
1363x936,DIV,balance-row point LeftUserCard-module__EGo6oW__convertRow,302,42.328,14px,400,21px,0px 10px,8px,10px,visible
1363x936,BUTTON,LeftUserCard-module__EGo6oW__convertButton,72,28,12px,800,12px,0px 12px,normal,7px,visible
1363x936,DIV,balance-row today-win,302,42.328,14px,400,21px,0px 10px,8px,10px,visible
1363x936,DIV,user-actions,302,121,14px,400,21px,8px 0px 0px,3px 4px,0px,visible
1363x936,BUTTON,primary,98,55,14px,600,20px,7px 4px 6px,5px,5px,hidden
1363x936,SPAN,action-icon,20,20,14px,600,0px,0px,normal,4px,visible
1363x936,BUTTON,secondary,98,55,14px,600,20px,7px 4px 6px,5px,5px,hidden
1363x936,BUTTON,,98,55,14px,600,20px,7px 4px 6px,5px,5px,hidden
1363x936,SECTION,bet-card,320,716,14px,400,21px,8px 8px 10px,8px,5px,hidden
1363x936,DIV,bet-head,302,41,14px,400,21px,0px 6px 7px,normal,0px,visible
1363x936,BUTTON,label,109.641,28,14px,400,21px,0px,6px,0px,visible
1363x936,SPAN,toggle,52,28,14px,400,21px,0px,normal,999px,hidden
1363x936,DIV,bet-limit-status,302,39,12px,600,16px,0px 10px 0px 14px,9px,10px,visible
1363x936,SPAN,bet-limit-label,75.469,16,12px,600,16px,0px,normal,0px,visible
1363x936,SPAN,bet-limit-value,26.375,16,12px,700,16px,0px,normal,0px,visible
1363x936,DIV,bet-empty,302,149,14px,400,21px,28px 12px 24px,normal,5px,visible
1363x936,DIV,icon-wrap,48,48,14px,400,21px,0px,normal,8px,visible
1363x936,DIV,msg,276,16,14px,600,16px,0px,normal,0px,visible
1363x936,DIV,sub,276,16,12px,500,16px,0px,normal,0px,visible
1363x936,DIV,bet-amount-section,302,164,14px,400,21px,9px,6px,5px,visible
1363x936,DIV,bet-input-row,282,24,14px,400,21px,0px,normal,0px,visible
1363x936,SPAN,bet-amount-badge,42,24,10.5px,800,10.5px,0px 6px,normal,4px,hidden
1363x936,BUTTON,reset,64.125,22,12px,600,16px,0px 8px,4px,5px,visible
1363x936,DIV,bet-input,282,40,14px,400,21px,0px 9px 0px 14px,4px,10px,hidden
1363x936,DIV,bet-quick,282,66,14px,400,21px,0px,4px,0px,visible
1363x936,BUTTON,max,91.344,31,13px,800,16px,0px,normal,5px,hidden
1363x936,DIV,bet-summary,302,223,14px,400,21px,9px 12px,normal,5px,visible
1363x936,DIV,bet-summary-row,276,29,12px,400,16px,0px 2px,normal 16px,0px,visible
1363x936,BUTTON,bet-cta,302,40,14px,700,21px,0px,8px,5px,hidden
1363x936,SPAN,bet-cta-inner,298,36,14px,700,21px,0px,8px,0px,visible
1363x936,SPAN,bet-cta-label,48.406,21,14px,700,21px,0px,normal,0px,visible
1363x936,SECTION,section-card right-banner-list flex flex-col gap-1,320,397.75,16px,400,24px,6px,4px,5px,hidden
1363x936,IMG,right-banner-image h-auto w-full,306,60.625,16px,400,24px,0px,normal,4px,clip
